index,team,record,rpi,projections,1st,2nd,3rd,sos,vs_1-5,vs_6-10,vs_11-20,vs_21+,gender,division,web_source,rank,school,conference,road,neutral,home,non_div_i,champ_%_rank,pr,sos-pr,qwf-pr,champ_%,sos-rpi,qwf-rpi,selection,champion_%
,Columbia ( 3 - 9 ),,84.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,48.0,81.0,43.0,98.0,0 . 0 %,70.0,96.0,250.0,
,Connecticut ( 8 - 5 ),,45.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,49.0,30.0,48.0,45.0,0 . 0 %,59.0,49.0,153.0,
,Dartmouth ( 7 - 5 ),,33.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,50.0,29.0,30.0,43.0,0 . 0 %,34.0,50.0,117.0,
,Davidson ( 8 - 6 ),,54.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,51.0,51.0,65.0,65.0,0 . 0 %,51.0,66.0,171.0,
,Delaware ( 9 - 5 ),,49.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,52.0,49.0,63.0,50.0,0 . 0 %,74.0,54.0,177.0,
,Delaware State ( 2 - 11 ),,121.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,53.0,129.0,125.0,126.0,0 . 0 %,113.0,124.0,358.0,
,Detroit Mercy ( 3 - 11 ),,120.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,54.0,116.0,109.0,123.0,0 . 0 %,121.0,122.0,363.0,
,Drexel ( 10 - 4 ),,21.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,55.0,27.0,36.0,30.0,0 . 0 %,21.0,21.0,63.0,
,Duquesne ( 7 - 7 ),,96.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,56.0,114.0,105.0,81.0,0 . 0 %,109.0,80.0,285.0,
,East Carolina ( 3 - 11 ),,83.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,57.0,77.0,49.0,110.0,0 . 0 %,45.0,114.0,242.0,
,Eastern Michigan ( 6 - 6 ),,103.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,58.0,109.0,110.0,64.0,0 . 0 %,115.0,63.0,281.0,
,Elon ( 7 - 7 ),,65.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,59.0,71.0,61.0,75.0,0 . 0 %,84.0,76.0,225.0,
,Fairleigh Dickinson ( 2 - 13 ),,126.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,60.0,128.0,127.0,129.0,0 . 0 %,118.0,129.0,373.0,
,Florida State ( 0 - 0 ),,0.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,61.0,0.0,0.0,0.0,0 . 0 %,0.0,0.0,0.0,
,Furman ( 6 - 8 ),,90.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,62.0,89.0,83.0,90.0,0 . 0 %,85.0,89.0,264.0,
,Gardner Webb ( 0 - 14 ),,125.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,63.0,131.0,99.0,130.0,0 . 0 %,111.0,130.0,366.0,
,George Mason ( 9 - 6 ),,88.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,64.0,85.0,116.0,68.0,0 . 0 %,107.0,67.0,262.0,
,George Washington ( 4 - 11 ),,111.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,65.0,113.0,101.0,120.0,0 . 0 %,93.0,119.0,323.0,
,Georgetown ( 6 - 9 ),,57.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,66.0,42.0,27.0,77.0,0 . 0 %,30.0,73.0,160.0,
,High Point ( 8 - 5 ),,71.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,67.0,76.0,90.0,53.0,0 . 0 %,94.0,56.0,221.0,
,Hofstra ( 9 - 5 ),,51.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,68.0,41.0,57.0,58.0,0 . 0 %,81.0,57.0,189.0,
,Holy Cross ( 10 - 3 ),,24.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,69.0,43.0,59.0,28.0,0 . 0 %,43.0,30.0,97.0,
,Howard (DC) ( 0 - 14 ),,127.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,70.0,132.0,126.0,131.0,0 . 0 %,126.0,131.0,384.0,
,Iona ( 10 - 4 ),,46.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,71.0,83.0,92.0,44.0,0 . 0 %,72.0,43.0,161.0,
,Jacksonville ( 5 - 8 ),,60.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,72.0,55.0,40.0,74.0,0 . 0 %,37.0,77.0,174.0,
,James Madison ( 9 - 5 ),,19.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,73.0,23.0,15.0,37.0,0 . 0 %,19.0,31.0,69.0,
,Kennesaw State ( 5 - 9 ),,116.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,74.0,108.0,108.0,102.0,0 . 0 %,127.0,103.0,346.0,
,Kent State ( 5 - 10 ),,105.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,75.0,112.0,103.0,108.0,0 . 0 %,100.0,108.0,313.0,
,La Salle ( 2 - 10 ),,114.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,76.0,120.0,94.0,114.0,0 . 0 %,96.0,111.0,321.0,
,Lafayette ( 4 - 9 ),,101.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,77.0,93.0,82.0,97.0,0 . 0 %,97.0,98.0,296.0,
,Le Moyne ( 8 - 6 ),,76.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,78.0,111.0,118.0,70.0,0 . 0 %,90.0,69.0,235.0,
,Lehigh ( 7 - 5 ),,53.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,79.0,53.0,53.0,54.0,0 . 0 %,82.0,55.0,190.0,
,Liberty ( 5 - 10 ),,64.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,80.0,72.0,38.0,95.0,0 . 0 %,33.0,95.0,192.0,
,Lindenwood ( 11 - 3 ),,67.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,81.0,60.0,106.0,34.0,0 . 0 %,120.0,35.0,222.0,
,LIU ( 7 - 7 ),,82.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,82.0,97.0,113.0,82.0,0 . 0 %,88.0,81.0,251.0,
,Longwood ( 7 - 7 ),,109.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,83.0,103.0,111.0,83.0,0 . 0 %,122.0,82.0,313.0,
,Louisville ( 7 - 9 ),,44.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,84.0,35.0,17.0,72.0,0 . 0 %,23.0,74.0,141.0,
,Manhattan ( 4 - 11 ),,95.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,85.0,118.0,86.0,118.0,0 . 0 %,62.0,118.0,275.0,
,Marist ( 3 - 11 ),,99.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,86.0,107.0,76.0,124.0,0 . 0 %,63.0,120.0,282.0,
,Marquette ( 5 - 10 ),,69.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,87.0,61.0,41.0,96.0,0 . 0 %,41.0,97.0,207.0,
,Massachusetts ( 9 - 4 ),,29.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,88.0,36.0,55.0,38.0,0 . 0 %,57.0,40.0,126.0,
,Massachusetts-Lowell ( 11 - 4 ),,58.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,89.0,58.0,107.0,41.0,0 . 0 %,86.0,41.0,185.0,
,Mercer ( 8 - 5 ),,48.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,90.0,47.0,72.0,49.0,0 . 0 %,54.0,51.0,153.0,
,Merrimack ( 3 - 11 ),,113.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,91.0,123.0,115.0,121.0,0 . 0 %,91.0,123.0,327.0,
,Monmouth (NJ) ( 6 - 8 ),,79.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,92.0,69.0,56.0,84.0,0 . 0 %,79.0,86.0,244.0,
,Mount St Marys ( 5 - 9 ),,61.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,93.0,75.0,68.0,99.0,0 . 0 %,40.0,99.0,200.0,
,New Hampshire ( 2 - 10 ),,102.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,94.0,110.0,74.0,115.0,0 . 0 %,77.0,112.0,291.0,
,Niagara ( 12 - 3 ),,35.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,95.0,48.0,85.0,32.0,0 . 0 %,76.0,32.0,143.0,
,Ohio State ( 7 - 7 ),,56.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,96.0,46.0,47.0,60.0,0 . 0 %,50.0,46.0,152.0,
,Old Dominion ( 3 - 11 ),,100.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,97.0,96.0,66.0,119.0,0 . 0 %,73.0,121.0,294.0,
,Oregon ( 7 - 5 ),,72.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,98.0,56.0,88.0,55.0,0 . 0 %,102.0,62.0,236.0,
,Penn State ( 8 - 6 ),,23.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,99.0,26.0,10.0,39.0,0 . 0 %,15.0,36.0,74.0,
,Pittsburgh ( 5 - 11 ),,70.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,100.0,70.0,34.0,93.0,0 . 0 %,35.0,92.0,197.0,
,Presbyterian ( 2 - 11 ),,122.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,101.0,127.0,119.0,116.0,0 . 0 %,124.0,113.0,359.0,
,Queens ( 8 - 6 ),,81.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,102.0,82.0,98.0,71.0,0 . 0 %,95.0,70.0,246.0,
,Quinnipiac ( 2 - 11 ),,98.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,103.0,95.0,79.0,117.0,0 . 0 %,58.0,115.0,271.0,
,Radford ( 4 - 9 ),,119.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,104.0,124.0,123.0,103.0,0 . 0 %,123.0,104.0,346.0,
,Rhode Island ( 0 - 0 ),,0.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,105.0,0.0,0.0,0.0,0 . 0 %,0.0,0.0,0.0,
,Rider ( 8 - 7 ),,93.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,106.0,101.0,112.0,78.0,0 . 0 %,104.0,78.0,275.0,
,Robert Morris ( 4 - 11 ),,112.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,107.0,119.0,96.0,111.0,0 . 0 %,105.0,116.0,333.0,
,Rutgers ( 6 - 8 ),,34.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,108.0,20.0,8.0,61.0,0 . 0 %,7.0,47.0,88.0,
,Sacred Heart ( 8 - 5 ),,66.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,109.0,98.0,114.0,63.0,0 . 0 %,87.0,58.0,211.0,
,San Diego State ( 2 - 12 ),,89.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,110.0,99.0,42.0,122.0,0 . 0 %,55.0,126.0,270.0,
,Siena ( 11 - 4 ),,36.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,111.0,57.0,81.0,40.0,0 . 0 %,67.0,39.0,142.0,
,South Florida ( 0 - 0 ),,0.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,112.0,0.0,0.0,0.0,0 . 0 %,0.0,0.0,0.0,
,St Bonaventure ( 7 - 8 ),,75.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,113.0,87.0,91.0,91.0,0 . 0 %,68.0,90.0,233.0,
,St Francis ( 7 - 6 ),,104.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,114.0,115.0,122.0,73.0,0 . 0 %,117.0,72.0,293.0,
,St Josephs (PA) ( 8 - 6 ),,40.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,115.0,38.0,46.0,66.0,0 . 0 %,39.0,64.0,143.0,
,Stetson ( 4 - 9 ),,108.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,116.0,102.0,102.0,104.0,0 . 0 %,92.0,101.0,301.0,
,Stonehill ( 6 - 7 ),,106.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,117.0,104.0,121.0,85.0,0 . 0 %,112.0,84.0,302.0,
,Temple ( 9 - 4 ),,30.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,118.0,39.0,44.0,36.0,0 . 0 %,44.0,37.0,111.0,
,Towson ( 6 - 8 ),,47.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,119.0,44.0,25.0,79.0,0 . 0 %,32.0,85.0,164.0,
,UC Davis ( 9 - 5 ),,52.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,120.0,74.0,78.0,56.0,0 . 0 %,69.0,59.0,180.0,
,UMBC ( 9 - 4 ),,63.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,121.0,68.0,93.0,46.0,0 . 0 %,106.0,48.0,217.0,
,UNC-Charlotte ( 0 - 0 ),,0.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,122.0,0.0,0.0,0.0,0 . 0 %,0.0,0.0,0.0,
,Vanderbilt ( 8 - 6 ),,55.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,123.0,54.0,51.0,62.0,0 . 0 %,60.0,60.0,175.0,
,VCU ( 4 - 11 ),,85.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,124.0,79.0,54.0,112.0,0 . 0 %,52.0,109.0,246.0,
,Vermont ( 6 - 7 ),,77.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,125.0,78.0,87.0,86.0,0 . 0 %,83.0,83.0,243.0,
,Villanova ( 6 - 7 ),,80.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,126.0,73.0,60.0,76.0,0 . 0 %,89.0,79.0,248.0,
,Wagner ( 4 - 9 ),,115.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,127.0,122.0,117.0,105.0,0 . 0 %,110.0,105.0,330.0,
,William & Mary ( 4 - 11 ),,86.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,128.0,90.0,50.0,107.0,0 . 0 %,56.0,106.0,248.0,
,Winthrop ( 1 - 12 ),,118.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,129.0,125.0,97.0,128.0,0 . 0 %,101.0,128.0,347.0,
,Wofford ( 5 - 7 ),,97.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,130.0,105.0,95.0,88.0,0 . 0 %,108.0,87.0,292.0,
,Xavier ( 3 - 10 ),,117.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,131.0,121.0,89.0,113.0,0 . 0 %,119.0,110.0,346.0,
,Youngstown State ( 0 - 14 ),,123.0,,,,,,,,,,girls,D1,laxmath,,,,,,,,132.0,126.0,100.0,132.0,0 . 0 %,114.0,132.0,369.0,
,Limestone ( 14 - 0 ),,4.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,1.0,2.0,11.0,2.0,18 . 0 %,13.0,3.0,20.0,
,Lenoir-Rhyne ( 12 - 1 ),,2.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,2.0,1.0,10.0,3.0,15 . 50 %,3.0,1.0,6.0,
,Rollins ( 11 - 2 ),,8.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,3.0,4.0,5.0,4.0,9 . 50 %,19.0,5.0,32.0,
,Tampa ( 14 - 1 ),,1.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,4.0,3.0,3.0,1.0,9 . 50 %,2.0,2.0,5.0,
,Newberry ( 10 - 3 ),,16.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,5.0,7.0,19.0,9.0,5 . 0 %,14.0,10.0,40.0,
,Adelphi ( 10 - 2 ),,3.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,6.0,5.0,16.0,5.0,4 . 50 %,4.0,4.0,11.0,
,St Anselm ( 8 - 1 ),,11.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,7.0,9.0,31.0,13.0,4 . 0 %,46.0,8.0,65.0,
,Florida Tech ( 5 - 7 ),,24.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,8.0,16.0,1.0,28.0,3 . 50 %,9.0,36.0,69.0,
,Indianapolis ( 10 - 3 ),,6.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,9.0,14.0,17.0,11.0,3 . 50 %,6.0,9.0,21.0,
,Maryville ( 9 - 3 ),,12.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,10.0,13.0,15.0,14.0,3 . 50 %,17.0,22.0,51.0,
,Wingate ( 9 - 4 ),,10.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,11.0,6.0,7.0,10.0,3 . 50 %,1.0,12.0,23.0,
,Florida Southern ( 8 - 6 ),,14.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,12.0,11.0,2.0,20.0,3 . 0 %,5.0,27.0,46.0,
,Rockhurst ( 10 - 2 ),,15.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,13.0,23.0,40.0,12.0,2 . 50 %,41.0,13.0,69.0,
,Mercy ( 9 - 1 ),,7.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,14.0,12.0,48.0,7.0,2 . 0 %,35.0,6.0,48.0,
,Colorado Mesa ( 8 - 4 ),,21.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,15.0,10.0,18.0,16.0,1 . 50 %,18.0,24.0,63.0,
,Lewis ( 10 - 3 ),,22.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,16.0,22.0,53.0,17.0,1 . 50 %,32.0,17.0,71.0,
,Lynn ( 5 - 8 ),,40.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,17.0,27.0,6.0,42.0,1 . 50 %,22.0,49.0,111.0,
,Belmont Abbey ( 8 - 6 ),,32.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,18.0,29.0,23.0,30.0,0 . 0 %,16.0,34.0,82.0,
,Embry-Riddle ( 6 - 7 ),,35.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,19.0,19.0,9.0,39.0,0 . 0 %,31.0,39.0,105.0,
,Mount Olive ( 9 - 3 ),,27.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,20.0,33.0,43.0,19.0,0 . 0 %,47.0,20.0,94.0,
,Pace ( 10 - 1 ),,5.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,21.0,15.0,30.0,8.0,0 . 0 %,21.0,7.0,33.0,
,Seton Hill ( 8 - 4 ),,18.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,22.0,20.0,47.0,23.0,0 . 0 %,15.0,18.0,51.0,
,Westminster (UT) ( 9 - 2 ),,19.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,23.0,8.0,22.0,6.0,0 . 0 %,52.0,11.0,82.0,
,Bentley ( 6 - 4 ),,9.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,24.0,18.0,13.0,18.0,0 . 0 %,7.0,15.0,31.0,
,Lander ( 9 - 4 ),,26.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,25.0,28.0,29.0,24.0,0 . 0 %,27.0,28.0,81.0,
,St Leo ( 8 - 5 ),,25.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,26.0,17.0,8.0,26.0,0 . 0 %,28.0,26.0,79.0,
,St Michaels ( 6 - 4 ),,29.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,27.0,35.0,52.0,29.0,0 . 0 %,53.0,21.0,103.0,
,Adams State ( 1 - 10 ),,76.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,28.0,71.0,46.0,74.0,0 . 0 %,70.0,76.0,222.0,
,Alabama-Huntsville ( 6 - 7 ),,46.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,29.0,36.0,26.0,49.0,0 . 0 %,44.0,44.0,134.0,
,American International ( 5 - 8 ),,52.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,30.0,50.0,55.0,54.0,0 . 0 %,51.0,52.0,155.0,
,Anderson (SC) ( 7 - 7 ),,31.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,31.0,21.0,14.0,32.0,0 . 0 %,12.0,35.0,78.0,
,Assumption ( 5 - 4 ),,20.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,32.0,38.0,25.0,25.0,0 . 0 %,50.0,23.0,93.0,
,Barton ( 6 - 8 ),,51.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,33.0,47.0,38.0,52.0,0 . 0 %,45.0,55.0,151.0,
,Bridgeport ( 6 - 6 ),,57.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,34.0,62.0,71.0,50.0,0 . 0 %,63.0,53.0,173.0,
,Caldwell ( 3 - 7 ),,63.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,35.0,68.0,70.0,64.0,0 . 0 %,68.0,62.0,193.0,
,Catawba ( 6 - 8 ),,48.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,36.0,40.0,32.0,51.0,0 . 0 %,33.0,57.0,138.0,
,Chestnut Hill ( 6 - 4 ),,36.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,37.0,46.0,62.0,33.0,0 . 0 %,56.0,29.0,121.0,
,Chowan ( 5 - 7 ),,69.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,38.0,63.0,69.0,57.0,0 . 0 %,73.0,60.0,202.0,
,Coker ( 6 - 7 ),,44.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,39.0,51.0,24.0,41.0,0 . 0 %,37.0,41.0,122.0,
,Concordia-Irvine ( 6 - 7 ),,55.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,40.0,32.0,36.0,34.0,0 . 0 %,55.0,48.0,158.0,
,CSU-Pueblo ( 2 - 10 ),,74.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,41.0,67.0,51.0,69.0,0 . 0 %,76.0,71.0,221.0,
,D'Youville ( 2 - 12 ),,73.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,42.0,73.0,68.0,79.0,0 . 0 %,65.0,78.0,216.0,
,Davenport ( 8 - 5 ),,39.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,43.0,49.0,56.0,35.0,0 . 0 %,62.0,31.0,132.0,
,Davis & Elkins ( 3 - 9 ),,77.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,44.0,77.0,79.0,72.0,0 . 0 %,75.0,70.0,222.0,
,District of Columbia ( 1 - 9 ),,78.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,45.0,79.0,75.0,73.0,0 . 0 %,77.0,72.0,227.0,
,Dominican (CA) ( 4 - 9 ),,61.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,46.0,55.0,21.0,65.0,0 . 0 %,43.0,73.0,177.0,
,Dominican (NY) ( 3 - 7 ),,68.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,47.0,70.0,72.0,66.0,0 . 0 %,72.0,64.0,204.0,
,Emmanuel (GA) ( 0 - 15 ),,71.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,48.0,66.0,33.0,80.0,0 . 0 %,49.0,80.0,200.0,
,Felician ( 4 - 7 ),,72.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,49.0,72.0,80.0,62.0,0 . 0 %,71.0,63.0,206.0,
,Flagler ( 4 - 8 ),,33.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,50.0,25.0,4.0,38.0,0 . 0 %,11.0,42.0,86.0,
,Franklin Pierce ( 3 - 8 ),,50.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,51.0,60.0,42.0,55.0,0 . 0 %,36.0,54.0,140.0,
,Frostburg State ( 9 - 3 ),,17.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,52.0,30.0,57.0,21.0,0 . 0 %,29.0,16.0,62.0,
,Georgian Court ( 8 - 6 ),,38.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,53.0,48.0,65.0,36.0,0 . 0 %,23.0,32.0,93.0,
,Holy Family ( 2 - 10 ),,79.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,54.0,80.0,77.0,77.0,0 . 0 %,78.0,77.0,234.0,
,Lake Erie ( 6 - 7 ),,47.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,55.0,56.0,61.0,53.0,0 . 0 %,40.0,45.0,132.0,
,Lees-McRae ( 3 - 7 ),,75.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,56.0,75.0,54.0,68.0,0 . 0 %,64.0,67.0,206.0,
,Lincoln Memorial ( 5 - 10 ),,56.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,57.0,41.0,28.0,60.0,0 . 0 %,25.0,66.0,147.0,
,Malone ( 8 - 6 ),,60.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,58.0,61.0,73.0,44.0,0 . 0 %,66.0,43.0,169.0,
,Mars Hill ( 5 - 9 ),,54.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,59.0,52.0,37.0,61.0,0 . 0 %,42.0,65.0,161.0,
,Mercyhurst ( 9 - 3 ),,13.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,60.0,24.0,41.0,15.0,0 . 0 %,10.0,14.0,37.0,
,Molloy ( 6 - 8 ),,37.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,61.0,44.0,49.0,45.0,0 . 0 %,8.0,40.0,85.0,
,Montevallo ( 9 - 4 ),,30.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,62.0,26.0,34.0,22.0,0 . 0 %,39.0,25.0,94.0,
,North Greenville ( 8 - 7 ),,43.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,63.0,34.0,35.0,46.0,0 . 0 %,38.0,50.0,131.0,
,Palm Beach Atlantic ( 5 - 5 ),,42.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,64.0,31.0,12.0,31.0,0 . 0 %,59.0,30.0,131.0,
,Post ( 8 - 6 ),,59.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,65.0,54.0,74.0,48.0,0 . 0 %,74.0,51.0,184.0,
,Quincy ( 6 - 6 ),,41.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,66.0,43.0,39.0,43.0,0 . 0 %,34.0,37.0,112.0,
,Roberts Wesleyan ( 8 - 5 ),,28.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,67.0,37.0,50.0,37.0,0 . 0 %,26.0,33.0,87.0,
,Shorter ( 8 - 6 ),,66.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,68.0,65.0,67.0,47.0,0 . 0 %,80.0,46.0,192.0,
,Southern New Hampshire ( 3 - 8 ),,45.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,69.0,42.0,27.0,63.0,0 . 0 %,30.0,58.0,133.0,
,St Rose ( 7 - 7 ),,34.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,70.0,45.0,44.0,40.0,0 . 0 %,24.0,38.0,96.0,
,St Thomas Aquinas ( 5 - 9 ),,67.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,71.0,69.0,76.0,70.0,0 . 0 %,67.0,68.0,202.0,
,Thomas More ( 1 - 9 ),,65.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,72.0,74.0,59.0,75.0,0 . 0 %,61.0,74.0,200.0,
,Tiffin ( 4 - 8 ),,70.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,73.0,76.0,63.0,71.0,0 . 0 %,69.0,69.0,208.0,
,Tusculum ( 1 - 14 ),,64.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,74.0,64.0,20.0,78.0,0 . 0 %,20.0,79.0,163.0,
,Virginia State ( 1 - 9 ),,80.0,,,,,,,,,,boys,D2,laxmath,,,,,,,,75.0,78.0,78.0,76.0,0 . 0 %,79.0,75.0,234.0,
