rank,club,rating,link,gender,class,season,web_source
208,HGR 2024 Blue,88.49,,boys,2024,2021,insidelacrosse
209,Cavalier 2024,88.45,,boys,2024,2021,insidelacrosse
210,Great Lakes 2024,88.42,,boys,2024,2021,insidelacrosse
--,VA Metro 2027,--,,girls,2027,2019,insidelacrosse
--,214LAX 2025 Volt,--,,girls,2025,2024,insidelacrosse
--,214Lax Dallas 2025,--,,girls,2025,2024,insidelacrosse
--,315 Elite 2025,--,,girls,2025,2024,insidelacrosse
--,3D Colorado 2025 AA,--,,girls,2025,2024,insidelacrosse
--,Common Goal 2025,--,,girls,2025,2024,insidelacrosse
--,3d Garden State 2025/2026,--,,girls,2025,2024,insidelacrosse
--,3D Maryland 2025 Baltimore,--,,girls,2025,2024,insidelacrosse
--,3D Maryland 2025 Frederick,--,,girls,2025,2024,insidelacrosse
--,3D New England 2025,--,,girls,2025,2024,insidelacrosse
--,3d New England 2025/2026,--,,girls,2025,2024,insidelacrosse
--,3D VA Metro 25 Orange,--,,girls,2025,2024,insidelacrosse
--,3D Virginia 2025,--,,girls,2025,2024,insidelacrosse
--,3 Point 2025/2026 Blue,--,,girls,2025,2024,insidelacrosse
--,3 Point 2025/2026 White,--,,girls,2025,2024,insidelacrosse
--,518Excelerate 2025,--,,girls,2025,2024,insidelacrosse
--,Aces Elite 2025,--,,girls,2025,2024,insidelacrosse
--,Aces 2025 Navy,--,,girls,2025,2024,insidelacrosse
--,Aces White 2025,--,,girls,2025,2024,insidelacrosse
--,ADK 2025,--,,girls,2025,2024,insidelacrosse
--,ADK Peak 2025,--,,girls,2025,2024,insidelacrosse
--,AFA 2025,--,,girls,2025,2024,insidelacrosse
--,All Lax Select 2025,--,,girls,2025,2024,insidelacrosse
--,Aim 2025,--,,girls,2025,2024,insidelacrosse
--,All American Aim 2025 Stars and Stripes,--,,girls,2025,2024,insidelacrosse
--,Alliance National 2025,--,,girls,2025,2024,insidelacrosse
--,Arc 2025,--,,girls,2025,2024,insidelacrosse
--,Atlanta Storm 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,Atlanta Storm 2025 Orange,--,,girls,2025,2024,insidelacrosse
--,Bay Area 2025,--,,girls,2025,2024,insidelacrosse
--,Bay State Bullets 2025 Silver,--,,girls,2025,2024,insidelacrosse
--,BBL Elite 2025 Black,--,,girls,2025,2024,insidelacrosse
--,BBL Elite 2025 Select,--,,girls,2025,2024,insidelacrosse
--,Belles 2025,--,,girls,2025,2024,insidelacrosse
--,Big 4 HHH 2025,--,,girls,2025,2024,insidelacrosse
--,Black Dog 2025/2026/2027,--,,girls,2025,2024,insidelacrosse
--,Black Lax 2025,--,,girls,2025,2024,insidelacrosse
--,Boston LC 2025,--,,girls,2025,2024,insidelacrosse
--,Capital 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,Capital 2025 Orange,--,,girls,2025,2024,insidelacrosse
--,Cav Lax Elite 2025,--,,girls,2025,2024,insidelacrosse
--,CCLAX 2025,--,,girls,2025,2024,insidelacrosse
--,CLC 2025 Bold,--,,girls,2025,2024,insidelacrosse
--,CLC 2025 Force,--,,girls,2025,2024,insidelacrosse
--,CLC 2025 Pride,--,,girls,2025,2024,insidelacrosse
--,CLC 2025 Rise,--,,girls,2025,2024,insidelacrosse
--,CLC 2025/2026 Force,--,,girls,2025,2024,insidelacrosse
--,Central 2025,--,,girls,2025,2024,insidelacrosse
--,Central Lacrosse Blue 2025,--,,girls,2025,2024,insidelacrosse
--,Central PA Fusion 2025,--,,girls,2025,2024,insidelacrosse
--,Charlotte Style 2025,--,,girls,2025,2024,insidelacrosse
--,Charlotte Style 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Check Hers 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Check-Hers Elite 2025 Black,--,,girls,2025,2024,insidelacrosse
--,CheckHers 2025,--,,girls,2025,2024,insidelacrosse
--,Circle City 2025 Titanium,--,,girls,2025,2024,insidelacrosse
--,Coast 2025 Elite,--,,girls,2025,2024,insidelacrosse
--,Coppermine 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Coppermine North 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,CT Grizzlies 2025 Navy,--,,girls,2025,2024,insidelacrosse
--,CT Grizzlies 2025 Yellow,--,,girls,2025,2024,insidelacrosse
--,CT Shoreline Sharks 2025,--,,girls,2025,2024,insidelacrosse
--,Dark Horse 2025/2026,--,,girls,2025,2024,insidelacrosse
--,DelCo 2025 Select,--,,girls,2025,2024,insidelacrosse
--,Delco Elite 2025,--,,girls,2025,2024,insidelacrosse
--,Denver Pride 2025,--,,girls,2025,2024,insidelacrosse
--,DEWLAX 2025 BLACK,--,,girls,2025,2024,insidelacrosse
--,DEWLAX 2025 BLUE,--,,girls,2025,2024,insidelacrosse
--,DEWLAX 2025 CT,--,,girls,2025,2024,insidelacrosse
--,DEWLAX 2025 ORANGE,--,,girls,2025,2024,insidelacrosse
--,Dynamite 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Dynamite 2025 Red,--,,girls,2025,2024,insidelacrosse
--,Dynasty Elite 2025 Delta,--,,girls,2025,2024,insidelacrosse
--,Dynasty Elite 2025 Victor,--,,girls,2025,2024,insidelacrosse
--,Eagle Stix 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,Eagle Stix 2025 Grey,--,,girls,2025,2024,insidelacrosse
--,ESLC Pirates 2025,--,,girls,2025,2024,insidelacrosse
--,Empress 2025,--,,girls,2025,2024,insidelacrosse
--,FCA Upstate NY 2025,--,,girls,2025,2024,insidelacrosse
--,FLG 2025 Elevate Blue,--,,girls,2025,2024,insidelacrosse
--,FLG Blue Devils 2025,--,,girls,2025,2024,insidelacrosse
--,Florida Select 2025,--,,girls,2025,2024,insidelacrosse
--,Florida Shine Elite 2025,--,,girls,2025,2024,insidelacrosse
--,Fusion Canada West 2025,--,,girls,2025,2024,insidelacrosse
--,GSE 2025,--,,girls,2025,2024,insidelacrosse
--,Georgia Lady Outlaws 2025 Pink,--,,girls,2025,2024,insidelacrosse
--,Gold Coast 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Gold Coast 2025 GOLD,--,,girls,2025,2024,insidelacrosse
--,Gold Coast 2025 Silver,--,,girls,2025,2024,insidelacrosse
--,Gold Coast 2025 White,--,,girls,2025,2024,insidelacrosse
--,Gold Star 2025,--,,girls,2025,2024,insidelacrosse
--,Granite State Elite 2025,--,,girls,2025,2024,insidelacrosse
--,GRIT Austin 2025,--,,girls,2025,2024,insidelacrosse
--,GRIT Dallas 2025,--,,girls,2025,2024,insidelacrosse
--,GRIT Houston 2025,--,,girls,2025,2024,insidelacrosse
--,Headlines HS 2025,--,,girls,2025,2024,insidelacrosse
--,HEADstrong SJ Girls 2025,--,,girls,2025,2024,insidelacrosse
--,Hero's 2025 Green,--,,girls,2025,2024,insidelacrosse
--,Hero's 2025 White,--,,girls,2025,2024,insidelacrosse
--,HGR 2025 Green,--,,girls,2025,2024,insidelacrosse
--,Hill Academy 2025,--,,girls,2025,2024,insidelacrosse
--,HoCo 2025 Black,--,,girls,2025,2024,insidelacrosse
--,HOCO 2025 Pink,--,,girls,2025,2024,insidelacrosse
--,Hoco Girls 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Hurricanes 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Hurricanes 2025 Green,--,,girls,2025,2024,insidelacrosse
--,Hurricanes 2025/2026 Black,--,,girls,2025,2024,insidelacrosse
--,Hurricanes 2025/2026 Grey,--,,girls,2025,2024,insidelacrosse
--,IL I.D. Fire,--,,girls,2025,2024,insidelacrosse
--,IL I.D. Impact,--,,girls,2025,2024,insidelacrosse
--,IL I.D. Power,--,,girls,2025,2024,insidelacrosse
--,IL I.D. Stars,--,,girls,2025,2024,insidelacrosse
--,Impact 2025,--,,girls,2025,2024,insidelacrosse
--,Integrity 2025,--,,girls,2025,2024,insidelacrosse
--,Integrity 2025 Green,--,,girls,2025,2024,insidelacrosse
--,Inteprid 2024-2025,--,,girls,2025,2024,insidelacrosse
--,Jersey Shore Select 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,Jersey SHORE Select 3 Point 2025,--,,girls,2025,2024,insidelacrosse
--,Jersey Thunder 2025,--,,girls,2025,2024,insidelacrosse
--,Jets Pink 2025/2026,--,,girls,2025,2024,insidelacrosse
--,KCLC Premier 2025,--,,girls,2025,2024,insidelacrosse
--,LA Select 2025,--,,girls,2025,2024,insidelacrosse
--,Lacrosse Monkey 2025,--,,girls,2025,2024,insidelacrosse
--,Lake Effect Storm 2025 Elite Red,--,,girls,2025,2024,insidelacrosse
--,Lake Effect Storm Elite 2025 White,--,,girls,2025,2024,insidelacrosse
--,Lake Murray Rapids 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Lakeshore 2025,--,,girls,2025,2024,insidelacrosse
--,Lakeside Lacrosse Alpine 2025,--,,girls,2025,2024,insidelacrosse
--,Lanco 2025,--,,girls,2025,2024,insidelacrosse
--,Lax Maniax 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Lax Maniax 2025 White,--,,girls,2025,2024,insidelacrosse
--,Lax On Elite 2025,--,,girls,2025,2024,insidelacrosse
--,Laxachusetts 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Laxachusetts 2025 Navy,--,,girls,2025,2024,insidelacrosse
--,Laxachusetts 2025 Yellow,--,,girls,2025,2024,insidelacrosse
--,LI Legacy GA 2025,--,,girls,2025,2024,insidelacrosse
--,LI Empire 2025,--,,girls,2025,2024,insidelacrosse
--,LI Empire 2025 Green,--,,girls,2025,2024,insidelacrosse
--,LI Jesters 2025 Black,--,,girls,2025,2024,insidelacrosse
--,LI Jesters 2025 Pink,--,,girls,2025,2024,insidelacrosse
--,LI Jesters 2025 White,--,,girls,2025,2024,insidelacrosse
--,LI Legacy 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,LI Liberty 2025 Black,--,,girls,2025,2024,insidelacrosse
--,LI Outlaws 2025,--,,girls,2025,2024,insidelacrosse
--,LI Top Guns 2025 Black,--,,girls,2025,2024,insidelacrosse
--,LI Top Guns 2025 Purple,--,,girls,2025,2024,insidelacrosse
--,Limitless Elite 2025,--,,girls,2025,2024,insidelacrosse
--,Lotus 2025,--,,girls,2025,2024,insidelacrosse
--,Lou Fusz Blue Star Elite 2025,--,,girls,2025,2024,insidelacrosse
--,Lucky Lax 2025,--,,girls,2025,2024,insidelacrosse
--,M&D 2025 Black,--,,girls,2025,2024,insidelacrosse
--,M&D 2025 Red,--,,girls,2025,2024,insidelacrosse
--,M&D 2025 Shore,--,,girls,2025,2024,insidelacrosse
--,M&D Orlando 2025 Black,--,,girls,2025,2024,insidelacrosse
--,M&D Orlando Lax 2025-26 Red,--,,girls,2025,2024,insidelacrosse
--,M&D Shore 2025 Black,--,,girls,2025,2024,insidelacrosse
--,MACLAX HS 2025/2026 BLUE,--,,girls,2025,2024,insidelacrosse
--,Mad Dog NJ North 2025 Black,--,,girls,2025,2024,insidelacrosse
--,Mad Dog Shore 2025/2026,--,,girls,2025,2024,insidelacrosse
--,Mad Dog West Elite 2025,--,,girls,2025,2024,insidelacrosse
--,Madlax Magic 2025-26 Orange,--,,girls,2025,2024,insidelacrosse
--,Maineiax Elite 2025,--,,girls,2025,2024,insidelacrosse
--,MFL 2025 Black,--,,girls,2025,2024,insidelacrosse
--,MFL 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,Mass Elite 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,Mass Elite 2025 Red,--,,girls,2025,2024,insidelacrosse
--,Mass Elite 2025 White,--,,girls,2025,2024,insidelacrosse
--,Maxim 2025 Navy,--,,girls,2025,2024,insidelacrosse
--,Maxim 2025 Teal,--,,girls,2025,2024,insidelacrosse
--,MC Elite 2025 Carolina,--,,girls,2025,2024,insidelacrosse
--,MC Elite 2025 Midnight,--,,girls,2025,2024,insidelacrosse
--,MD United 2025 East,--,,girls,2025,2024,insidelacrosse
--,MD United 2025 West,--,,girls,2025,2024,insidelacrosse
--,Metro 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,Minnesota Elite 2025,--,,girls,2025,2024,insidelacrosse
--,Monarch Black 2025,--,,girls,2025,2024,insidelacrosse
--,Monster 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,Monster Elite 2025 Orange,--,,girls,2025,2024,insidelacrosse
--,Monster Elite 2025 Purple,--,,girls,2025,2024,insidelacrosse
--,Monster Elite 2025 White,--,,girls,2025,2024,insidelacrosse
--,NEMS 2025,--,,girls,2025,2024,insidelacrosse
--,Next Level 2025,--,,girls,2025,2024,insidelacrosse
--,NH Tomahawks 2025 Gold,--,,girls,2025,2024,insidelacrosse
--,NH Tomahawks 2025 Purple,--,,girls,2025,2024,insidelacrosse
--,Nor'easter 2025,--,,girls,2025,2024,insidelacrosse
--,Nor'easter 2025 Grit,--,,girls,2025,2024,insidelacrosse
--,Nor'easter 2025 Power,--,,girls,2025,2024,insidelacrosse
--,NXT 2025 Black,--,,girls,2025,2024,insidelacrosse
--,NXT 2025 Volt,--,,girls,2025,2024,insidelacrosse
--,Ohio Premier Select 2025,--,,girls,2025,2024,insidelacrosse
--,Orange Crush 2025,--,,girls,2025,2024,insidelacrosse
--,Oregon Pride 2025,--,,girls,2025,2024,insidelacrosse
--,Phantastix 2025 Purple,--,,girls,2025,2024,insidelacrosse
--,Phantastix 2025 West,--,,girls,2025,2024,insidelacrosse
--,Phantastix 2025 White,--,,girls,2025,2024,insidelacrosse
--,Phantoms 2025,--,,girls,2025,2024,insidelacrosse
--,Philadelphia Freedom 2025,--,,girls,2025,2024,insidelacrosse
--,Philly Blast 2025,--,,girls,2025,2024,insidelacrosse
--,Philly Blast 2025 Pride,--,,girls,2025,2024,insidelacrosse
--,Pipeline Platinum 2025 Red,--,,girls,2025,2024,insidelacrosse
--,Pipeline Platinum Blue 2025,--,,girls,2025,2024,insidelacrosse
--,PPLC 2025 Blue,--,,girls,2025,2024,insidelacrosse
--,Predators 2025,--,,girls,2025,2024,insidelacrosse
--,Pride 2025 Black Nova,--,,girls,2025,2024,insidelacrosse
--,Pride 2025 Cavalier,--,,girls,2025,2024,insidelacrosse
--,Pride 2025 Hansen,--,,girls,2025,2024,insidelacrosse
--,Pride 2025 White,--,,girls,2025,2024,insidelacrosse
--,Pride 2025 White (Nova),--,,girls,2025,2024,insidelacrosse
--,Primetime 2025,--,,girls,2025,2024,insidelacrosse
--,Pure Advantage Premier 2025,--,,girls,2025,2024,insidelacrosse
--,Pure Advantage Premier 2025/2026,--,,girls,2025,2024,insidelacrosse
1,LI Yellow Jackets 2025 Spallina,99.9,,girls,2025,2022,insidelacrosse
2,STEPS Elite NJ 2025 Navy,99.86,,girls,2025,2022,insidelacrosse
3,Hero's 2025 Green,99.6,,girls,2025,2022,insidelacrosse
4,M&D 2025 Black,99.44,,girls,2025,2022,insidelacrosse
5,Big 4 HHH 2025,99.09,,girls,2025,2022,insidelacrosse
6,Primetime 2025,98.85,,girls,2025,2022,insidelacrosse
7,Sky Walkers 2025 Blue,98.78,,girls,2025,2022,insidelacrosse
8,Mass Elite 2025 Red,98.18,,girls,2025,2022,insidelacrosse
9,Monster Elite 2025 Purple,97.5,,girls,2025,2022,insidelacrosse
10,CT Grizzlies 2025 Navy,97.19,,girls,2025,2022,insidelacrosse
11,Capital 2025 Blue,97.12,,girls,2025,2022,insidelacrosse
12,NXT 2025 Black,97.06,,girls,2025,2022,insidelacrosse
13,LI Top Guns 2025 Black,96.55,,girls,2025,2022,insidelacrosse
14,Aces Elite 2025,96.52,,girls,2025,2022,insidelacrosse
15,LI Yellow Jackets 2025 Bertolone,96.36,,girls,2025,2022,insidelacrosse
16,LI Yellow Jackets 2025 Janelli,96.15,,girls,2025,2022,insidelacrosse
17,Team Elevate 2025 Blue,95.52,,girls,2025,2022,insidelacrosse
18,LBC 2025,95.46,,girls,2025,2022,insidelacrosse
19,Florida Select 2025,95.43,,girls,2025,2022,insidelacrosse
20,Cav Lax Elite 2025,95.23,,girls,2025,2022,insidelacrosse
21,Tradition 2025,95.19,,girls,2025,2022,insidelacrosse
22,Aim 2025,95.03,,girls,2025,2022,insidelacrosse
23,Cavalier 2025,95.03,,girls,2025,2022,insidelacrosse
24,Eagle Stix 2025 Blue,94.78,,girls,2025,2022,insidelacrosse
25,BBL Elite 2025 Black,94.71,,girls,2025,2022,insidelacrosse
26,Oregon Pride 2025,94.68,,girls,2025,2022,insidelacrosse
27,Yellow Jackets 2025 Lomo,94.52,,girls,2025,2022,insidelacrosse
28,LI Legacy 2025 Blue,94.4,,girls,2025,2022,insidelacrosse
29,Denver Pride 2025,94.25,,girls,2025,2022,insidelacrosse
30,Hoco Girls 2025 Black,94.2,,girls,2025,2022,insidelacrosse
31,LI Jesters 2025 Black,94.19,,girls,2025,2022,insidelacrosse
32,3D Maryland 2025 Frederick,93.91,,girls,2025,2022,insidelacrosse
33,GRIT Dallas 2025,93.88,,girls,2025,2022,insidelacrosse
34,STEPS California 2025,93.69,,girls,2025,2022,insidelacrosse
35,Limitless Elite 2025,93.62,,girls,2025,2022,insidelacrosse
36,Salt City Snipers 2025,93.54,,girls,2025,2022,insidelacrosse
37,DEWLAX 2025 BLACK,93.48,,girls,2025,2022,insidelacrosse
38,MD United 2025 East,93.41,,girls,2025,2022,insidelacrosse
39,Team 180 2025,93.4,,girls,2025,2022,insidelacrosse
40,NEMS 2025,93.11,,girls,2025,2022,insidelacrosse
41,M&D 2025 Red,93.1,,girls,2025,2022,insidelacrosse
42,York Invaders 2025,93.0,,girls,2025,2022,insidelacrosse
43,Hero's 2025 White,92.96,,girls,2025,2022,insidelacrosse
44,Phantastix 2025 Purple,92.6,,girls,2025,2022,insidelacrosse
45,STEPS Elite NJ 2025 Carolina,92.59,,girls,2025,2022,insidelacrosse
46,Lax Maniax 2025 Black,92.52,,girls,2025,2022,insidelacrosse
47,LI Liberty 2025 Black,92.32,,girls,2025,2022,insidelacrosse
48,Triple Threat Elite 2025 Iron,92.12,,girls,2025,2022,insidelacrosse
49,Mass Elite 2025 Blue,92.1,,girls,2025,2022,insidelacrosse
50,Pride 2025 Black,92.05,,girls,2025,2022,insidelacrosse
51,Sound 2025,92.03,,girls,2025,2022,insidelacrosse
52,Philly Blast 2025 Pride,91.92,,girls,2025,2022,insidelacrosse
53,Orange Crush 2025,91.76,,girls,2025,2022,insidelacrosse
54,Mad Dog West Elite 2025,91.71,,girls,2025,2022,insidelacrosse
55,South Jersey Select 2025 Pink,91.7,,girls,2025,2022,insidelacrosse
56,Laxachusetts 2025 Black,91.64,,girls,2025,2022,insidelacrosse
57,UT Express 2025/2026,91.6,,girls,2025,2022,insidelacrosse
58,DEWLAX 2025 CT,91.57,,girls,2025,2022,insidelacrosse
59,Southern Zone 2025,91.48,,girls,2025,2022,insidelacrosse
60,Team Ontario U15,91.48,,girls,2025,2022,insidelacrosse
61,Atlanta Storm 2025 Blue,91.46,,girls,2025,2022,insidelacrosse
62,Sky Walkers 2025 White,91.26,,girls,2025,2022,insidelacrosse
63,Mass Elite 2025 White,91.17,,girls,2025,2022,insidelacrosse
64,3D Colorado 2025 AA,90.98,,girls,2025,2022,insidelacrosse
65,Yellow Jackets South 2025 Blue,90.85,,girls,2025,2022,insidelacrosse
66,CT Grizzlies 2025 Yellow,90.79,,girls,2025,2022,insidelacrosse
67,Team 91 Carolina 2025,90.66,,girls,2025,2022,insidelacrosse
68,TLC 2025 Red,90.6,,girls,2025,2022,insidelacrosse
69,Dynasty Elite 2025 Delta,90.58,,girls,2025,2022,insidelacrosse
70,Capital 2025 Orange,90.48,,girls,2025,2022,insidelacrosse
71,CLC 2025 Pride,90.32,,girls,2025,2022,insidelacrosse
72,Coppermine 2025 Black,90.31,,girls,2025,2022,insidelacrosse
73,HoCo 2025 Black,90.3,,girls,2025,2022,insidelacrosse
74,Snipers Elite 2025,90.1,,girls,2025,2022,insidelacrosse
75,Yellow Jackets North Mid Atlantic 2025,89.92,,girls,2025,2022,insidelacrosse
76,Team ONE Wildcat 2025,89.9,,girls,2025,2022,insidelacrosse
77,All Lax Select 2025,89.76,,girls,2025,2022,insidelacrosse
78,Monster Elite 2025 White,89.74,,girls,2025,2022,insidelacrosse
79,Lakeshore 2025,89.4,,girls,2025,2022,insidelacrosse
80,Jersey Shore Select 2025 Blue,89.31,,girls,2025,2022,insidelacrosse
81,Predators 2025,89.3,,girls,2025,2022,insidelacrosse
82,3D Maryland 2025 Baltimore,89.24,,girls,2025,2022,insidelacrosse
83,Xtreme 2025,89.24,,girls,2025,2022,insidelacrosse
84,LI Empire 2025 Green,89.19,,girls,2025,2022,insidelacrosse
85,LI Yellow Jackets 2025 Galvin,89.17,,girls,2025,2022,insidelacrosse
86,DEWLAX CT '24-'25,89.12,,girls,2025,2022,insidelacrosse
87,Lady Blue Crabs 25 Black,88.94,,girls,2025,2022,insidelacrosse
88,Charlotte Style 2025 Black,88.88,,girls,2025,2022,insidelacrosse
89,Yellow Jackets North 2025 Willams,88.82,,girls,2025,2022,insidelacrosse
90,Gold Coast 2025 GOLD,88.64,,girls,2025,2022,insidelacrosse
91,214Lax Dallas 2025,88.57,,girls,2025,2022,insidelacrosse
92,MFL 2025 Black,88.5,,girls,2025,2022,insidelacrosse
93,CheckHers 2025,88.44,,girls,2025,2022,insidelacrosse
94,Storm Select 2025,88.44,,girls,2025,2022,insidelacrosse
95,Team BC 2025,88.28,,girls,2025,2022,insidelacrosse
96,REV 2025 Black,88.12,,girls,2025,2022,insidelacrosse
97,MC Elite 2025 Midnight,87.96,,girls,2025,2022,insidelacrosse
98,UPROAR 2025 ELITE,87.94,,girls,2025,2022,insidelacrosse
99,Impact 2025,87.9,,girls,2025,2022,insidelacrosse
100,Metro 2025 Blue,87.9,,girls,2025,2022,insidelacrosse
101,Yellow Jackets North Rockland 2025,87.77,,girls,2025,2022,insidelacrosse
102,Ultimate Elite 2025,87.72,,girls,2025,2022,insidelacrosse
103,True National 2025,87.7,,girls,2025,2022,insidelacrosse
104,Integrity 2025 Green,87.67,,girls,2025,2022,insidelacrosse
105,Seattle Starz 2025,87.66,,girls,2025,2022,insidelacrosse
106,Philadelphia Freedom 2025,87.65,,girls,2025,2022,insidelacrosse
107,South Coast 2025,87.64,,girls,2025,2022,insidelacrosse
108,M&D Orlando 2025 Black,87.6,,girls,2025,2022,insidelacrosse
109,True Illinois 2025 State,87.6,,girls,2025,2022,insidelacrosse
110,Bay State Bullets 2025 Silver,87.53,,girls,2025,2022,insidelacrosse
111,NH Tomahawks 2025 Purple,87.53,,girls,2025,2022,insidelacrosse
112,Ultimate CLT 2025 Blue,87.46,,girls,2025,2022,insidelacrosse
113,FCA MD 2025 Blue,87.45,,girls,2025,2022,insidelacrosse
114,BBL Elite 2025 Select,87.44,,girls,2025,2022,insidelacrosse
115,LI Top Guns 2025 Purple,87.44,,girls,2025,2022,insidelacrosse
116,CLC 2025 Rise,87.31,,girls,2025,2022,insidelacrosse
117,Laxachusetts 2025 Yellow,87.27,,girls,2025,2022,insidelacrosse
118,BBL 2025 North,87.25,,girls,2025,2022,insidelacrosse
119,Charlotte Style 2025,87.1,,girls,2025,2022,insidelacrosse
120,DelCo 2025 Select,87.04,,girls,2025,2022,insidelacrosse
121,Reign 2025,86.95,,girls,2025,2022,insidelacrosse
122,Pride 2025 Hansen,86.68,,girls,2025,2022,insidelacrosse
123,Ultimate NJ 2025,86.65,,girls,2025,2022,insidelacrosse
124,PPLC 2025 Blue,86.61,,girls,2025,2022,insidelacrosse
125,NXT 2025 Volt,86.58,,girls,2025,2022,insidelacrosse
126,Eagle Stix 2025 Grey,86.55,,girls,2025,2022,insidelacrosse
127,Check Hers 2025 Black,86.34,,girls,2025,2022,insidelacrosse
128,Hurricanes 2025 Black,86.16,,girls,2025,2022,insidelacrosse
129,Lucky Lax 2025,86.13,,girls,2025,2022,insidelacrosse
130,3D New England 2025,86.09,,girls,2025,2022,insidelacrosse
131,Ultimate CC 2025,85.87,,girls,2025,2022,insidelacrosse
132,Atlanta Storm 2025 Orange,85.63,,girls,2025,2022,insidelacrosse
133,Renegades 25,85.6,,girls,2025,2022,insidelacrosse
134,Relentless Hustle 2025,85.56,,girls,2025,2022,insidelacrosse
135,Team 91 Long Island 2025,85.56,,girls,2025,2022,insidelacrosse
136,Minnesota Elite 2025,85.55,,girls,2025,2022,insidelacrosse
137,All American Aim 2025 Stars and Stripes,85.38,,girls,2025,2022,insidelacrosse
138,Coast VA 2025,85.24,,girls,2025,2022,insidelacrosse
139,LI Legacy 2025 White,85.08,,girls,2025,2022,insidelacrosse
140,Pride 2025 Cora,84.71,,girls,2025,2022,insidelacrosse
141,Yellow Jackets South 2025 Gold,84.71,,girls,2025,2022,insidelacrosse
142,Phantoms 2025,84.64,,girls,2025,2022,insidelacrosse
143,Common Goal 2025,84.58,,girls,2025,2022,insidelacrosse
144,Phantastix 2025 White,84.54,,girls,2025,2022,insidelacrosse
145,Team Elevate 2025 Red,84.5,,girls,2025,2022,insidelacrosse
146,MD United 2025 West,84.43,,girls,2025,2022,insidelacrosse
147,Georgia Lady Outlaws 2025 Pink,84.42,,girls,2025,2022,insidelacrosse
148,CCLAX 2025,84.41,,girls,2025,2022,insidelacrosse
149,South Jersey Select 2025 Black,84.33,,girls,2025,2022,insidelacrosse
150,Nor'easter 2025 Grit,84.18,,girls,2025,2022,insidelacrosse
151,ESLC Pirates 2025,84.13,,girls,2025,2022,insidelacrosse
152,Reign '24-'25 Rise,84.12,,girls,2025,2022,insidelacrosse
153,Nor'easter 2025 Power,84.05,,girls,2025,2022,insidelacrosse
154,Phantastix 2025 West,84.01,,girls,2025,2022,insidelacrosse
155,Mad Dog NJ North 2025 Black,83.8,,girls,2025,2022,insidelacrosse
156,Triple Threat Elite 2025 Steel,83.8,,girls,2025,2022,insidelacrosse
157,GRIT Austin 2025,83.56,,girls,2025,2022,insidelacrosse
158,Ultimate NC 2025 Blue,83.53,,girls,2025,2022,insidelacrosse
159,Monster Elite 2025 Orange,83.36,,girls,2025,2022,insidelacrosse
160,Bay Area 2025,83.18,,girls,2025,2022,insidelacrosse
161,Pride 2025 Chestnut,83.04,,girls,2025,2022,insidelacrosse
162,True Pittsburg 2025,82.9,,girls,2025,2022,insidelacrosse
163,Nor'easter 2025,82.83,,girls,2025,2022,insidelacrosse
164,Florida Shine Elite 2025,82.81,,girls,2025,2022,insidelacrosse
165,Gold Coast 2025 Black,82.7,,girls,2025,2022,insidelacrosse
166,Coast 2025 Elite,82.59,,girls,2025,2022,insidelacrosse
167,Ultimate PA 2025,82.59,,girls,2025,2022,insidelacrosse
168,Gold Coast 2025 Silver,82.56,,girls,2025,2022,insidelacrosse
169,MFL 2025 Blue,82.52,,girls,2025,2022,insidelacrosse
170,STARS 2025 Blue,82.22,,girls,2025,2022,insidelacrosse
171,Blue Devils 2025,82.05,,girls,2025,2022,insidelacrosse
172,Rebels 2025,81.92,,girls,2025,2022,insidelacrosse
173,Sidewinders 2025,81.78,,girls,2025,2022,insidelacrosse
174,Renegades 2025,81.62,,girls,2025,2022,insidelacrosse
175,DEWLAX 2025 BLUE,81.6,,girls,2025,2022,insidelacrosse
176,Dynasty Elite 2025 Victor,81.59,,girls,2025,2022,insidelacrosse
177,TLC 2025 White,81.51,,girls,2025,2022,insidelacrosse
178,DEWLAX 2025 ORANGE,81.46,,girls,2025,2022,insidelacrosse
179,Pride 2025 White,81.37,,girls,2025,2022,insidelacrosse
180,Virginia One 2025 White,81.28,,girls,2025,2022,insidelacrosse
181,Coppermine North 2025 Blue,81.24,,girls,2025,2022,insidelacrosse
182,GRIT Houston 2025,81.22,,girls,2025,2022,insidelacrosse
